work_year	salary_in_usd	company_location
2023	115000	United States
2023	105000	United States
2023	195800	United States
2023	161900	United States
2023	90000	United States
2023	80000	United States
2023	192500	United States
2023	140000	United States
2023	100000	United States
2023	75000	United States
2023	169000	United States
2023	91000	United States
2023	216600	Canada
2023	144400	Canada
2023	150000	United States
2023	120000	United States
2023	133000	United States
2023	58400	United States
2023	166000	United States
2023	73100	United States
2023	166000	United States
2023	73100	United States
2023	336300	United States
2023	179000	United States
2023	296400	United States
2023	159600	United States
2023	212000	United States
2023	93300	United States
2023	204500	United States
2023	142200	United States
2023	258500	United States
2023	226500	United States
2023	247250	United States
2023	118400	United States
2023	160000	United States
2023	140000	United States
2023	212000	United States
2023	93400	United States
2023	172256	United Kingdom
2023	123040	United Kingdom
2023	219000	United States
2023	132000	United States
2023	130500	United States
2023	116000	United States
2023	323300	United States
2023	184700	United States
2023	250000	United States
2023	200000	United States
2023	136000	United States
2023	91000	United States
2023	185900	United States
2023	129300	United States
2023	143000	Canada
2023	78000	Canada
2023	135000	United States
2023	110000	United States
2023	142000	Canada
2023	102200	Canada
2023	137500	United States
2023	81500	United States
2023	202000	United States
2023	147000	United States
2023	140000	United States
2023	125000	United States
2023	170625	United States
2023	127950	United States
2023	123040	United Kingdom
2023	86128	United Kingdom
2023	85256	United States
2023	71615	United States
2023	100000	United States
2023	100000	United States
2023	185000	United States
2023	125000	United States
2023	60000	United States
2023	52000	United States
2023	300000	United States
2023	260000	United States
2023	225000	United States
2023	170000	United States
2023	100000	United States
2023	80000	United States
2023	204500	United States
2023	142200	United States
2023	135000	United States
2023	100000	United States
2023	297300	United States
2023	198200	United States
2023	240000	United States
2023	190000	United States
2023	185000	United States
2023	79600	United States
2023	222200	United States
2023	136000	United States
2023	110000	United States
2023	95000	United States
2023	324000	United States
2023	159000	United States
2023	207700	Canada
2023	133700	Canada
2023	71000	United States
2023	57000	United States
2023	222200	United States
2023	136000	United States
2023	200000	United States
2023	150000	United States
2023	59000	United States
2023	50000	United States
2023	234000	United States
2023	208000	United States
2023	187000	United States
2023	128000	United States
2023	202000	United States
2023	147000	United States
2023	50000	Canada
2023	64781	Spain
2023	57223	Netherlands
2023	21000	Luxembourg
2023	135000	United States
2023	120000	United States
2023	150000	United States
2023	140000	United States
2023	190000	United States
2023	165000	United States
2023	280000	United States
2023	190000	United States
2023	212000	United States
2023	190000	United States
2023	43064	United Kingdom
2023	43064	United Kingdom
2023	245700	United States
2023	132300	United States
2023	90000	United States
2023	80000	United States
2023	212000	United States
2023	93300	United States
2023	212000	United States
2023	93300	United States
2023	276000	United States
2023	174000	United States
2023	133000	United States
2023	58300	United States
2023	145640	United States
2023	84400	United States
2023	300000	United States
2023	195000	United States
2023	190000	Canada
2023	107500	Canada
2023	105000	United States
2023	75000	United States
2023	140000	United States
2023	98000	United States
2023	204500	United States
2023	142200	United States
2023	236160	United States
2023	159408	United States
2023	115000	United States
2023	85000	United States
2023	145000	United States
2023	120000	United States
2023	120350	United States
2023	74400	United States
2023	158494	United States
2023	88052	United States
2023	181500	United States
2023	127000	United States
2023	300000	United States
2023	260000	United States
2023	258000	United States
2023	171000	United States
2023	25000	Netherlands
2023	200000	United States
2023	150000	United States
2023	225300	United States
2023	197400	United States
2023	205500	United States
2023	128500	United States
2023	191600	United States
2023	125600	United States
2023	245700	United States
2023	132300	United States
2023	130410	United States
2023	92000	United States
2023	183900	United States
2023	108800	United States
2023	275000	United States
2023	121200	United States
2023	166000	United States
2023	73100	United States
2023	231250	United States
2023	111000	United States
2023	300000	United States
2023	130000	United States
2023	210500	United States
2023	105300	United States
2023	158400	United States
2023	85800	United States
2023	305600	United States
2023	146600	United States
2023	180400	United States
2023	138800	United States
2023	258700	United States
2023	172500	United States
2023	156100	Canada
2023	100400	Canada
2023	134200	United States
2023	103200	United States
2023	105000	United States
2023	85000	United States
2023	220000	United States
2023	160000	United States
2023	110000	United States
2023	95000	United States
2023	95400	United States
2023	57800	United States
2023	110000	United States
2023	86000	United States
2023	125000	United States
2023	87500	United States
2023	185000	United States
2023	79600	United States
2023	275000	United States
2023	170000	United States
2023	133200	United States
2023	84000	United States
2023	171000	United States
2023	93000	United States
2023	216450	United States
2023	123750	United States
2023	212800	United States
2023	124100	United States
2023	205000	United States
2023	166000	United States
2023	231650	United States
2023	189100	United States
2023	160000	Canada
2023	120000	Canada
2023	156100	Canada
2023	100400	Canada
2023	266875	United States
2023	128250	United States
2023	158600	United States
2023	115300	United States
2023	225300	United States
2023	197400	United States
2023	109900	United States
2023	61200	United States
2023	161000	United States
2023	75000	United States
2023	166000	United States
2023	73100	United States
2023	138510	United States
2023	95490	United States
2023	150000	United States
2023	110000	United States
2023	232200	United States
2023	133300	United States
2023	121788	Lithuania
2023	79032	Lithuania
2023	178250	United States
2023	110500	United States
2023	190000	United States
2023	160000	United States
2023	216000	United States
2023	184000	United States
2023	166000	Canada
2023	104000	Canada
2023	185000	United States
2023	79600	United States
2023	230000	United States
2023	196000	United States
2023	184000	United States
2023	123000	United States
2023	165600	United States
2023	65800	United States
2023	186000	United States
2023	81800	United States
2023	135000	United States
2023	82500	United States
2023	247250	United States
2023	160000	United States
2023	169000	United States
2023	105500	United States
2023	195800	United States
2023	161900	United States
2023	108500	United States
2023	78800	United States
2023	225000	United States
2023	166000	United States
2023	167500	United States
2023	106500	United States
2023	160000	United States
2023	110000	United States
2023	120000	Canada
2023	105000	Canada
2023	110000	United States
2023	87500	United States
2023	60000	United States
2023	55000	United States
2023	145000	United States
2023	115000	United States
2023	225000	United States
2023	166000	United States
2023	135000	United States
2023	100000	United States
2023	105000	Portugal
2023	95000	Portugal
2023	289800	United States
2023	214200	United States
2023	167500	United States
2023	106500	United States
2023	220000	United States
2023	146000	United States
2023	128000	United States
2023	81500	United States
2023	206000	United States
2023	134000	United States
2023	370000	United States
2023	200000	United States
2023	175000	United States
2023	160000	United States
2023	240000	United States
2023	100000	United States
2023	180000	United States
2023	160000	United States
2023	143000	Canada
2023	127000	Canada
2023	249300	United States
2023	149300	United States
2023	222200	United States
2023	136000	United States
2023	190000	United States
2023	160000	United States
2023	248100	United States
2023	145900	United States
2023	170200	United States
2023	83900	United States
2023	100000	United States
2023	75000	United States
2023	166000	United Kingdom
2023	90000	United Kingdom
2023	160000	United States
2023	94100	United States
2023	226600	United States
2023	140100	United States
2023	247600	United States
2023	127300	United States
2023	222200	United States
